2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
10050,Albury (C),47851,964.288115,180,4,32,NSW,51,4,34,647.011639,1197.253471,0.000480659
10110,Armidale Dumaresq (A),24121.92784,954.1364775,137,3,25,NSW,32,3,21,711.6063629,1123.282524,0.035610752
10150,Ashfield (A),41216,961.7733895,167,3,30,NSW,45,3,30,812.645174,1129.319082,0
10200,Auburn (C),73744,931.3302332,86,2,16,NSW,12,1,8,738.8209963,1179.353387,0.020069429
10250,Ballina (A),39263.32743,986.2120741,303,6,54,NSW,93,7,61,484.4615353,1127.665641,0.000331098
10300,Balranald (A),2283.865542,968.5894746,207,4,37,NSW,61,4,40,930.9111397,1044.318003,0
10350,Bankstown (C),182366.001,960.8812516,165,3,30,NSW,44,3,29,606.8677083,1135.360035,0.002719805
10470,Bathurst Regional (A),38514.20244,993.858716,339,7,61,NSW,101,7,66,675.5332981,1175.128026,0.02889843
10550,Bega Valley (A),31951.1223,974.0593999,237,5,42,NSW,75,5,49,788.1546287,1109.030882,0.000359091
10600,Bellingen (A),12524.01925,956.6034165,145,3,26,NSW,35,3,23,803.7039985,1043.428991,0
10650,Berrigan (A),8067,964.8741343,184,4,33,NSW,53,4,35,868.1248697,1077.57888,0
10750,Blacktown (C),301124.9957,995.1468084,347,7,62,NSW,102,7,67,571.2032902,1241.076014,0.002819413
10800,Bland (A),5868.056805,996.5688489,356,7,64,NSW,106,7,69,881.9171249,1085.859195,0
10850,Blayney (A),6979.894084,1009.489053,409,8,73,NSW,117,8,76,824.2683353,1144.301279,0
10900,Blue Mountains (C),75930.03422,1029.557332,472,9,84,NSW,130,9,85,793.028875,1176.951442,0.00126478
10950,Bogan (A),2896.53664,959.5289511,156,3,28,NSW,41,3,27,842.0843127,1104.169793,0
11000,Bombala (A),2410.523821,969.5026789,216,4,39,NSW,66,5,43,893.4847905,1029.743004,0.000633322
11050,Boorowa (A),2397,985.1937594,299,6,53,NSW,91,6,60,927.0080857,1093.506971,0
11100,Botany Bay (C),39377.99601,962.3901686,172,4,31,NSW,47,4,31,551.9207067,1104.875425,0.001117274
11150,Bourke (A),2869.998999,923.979666,74,2,14,NSW,9,1,6,798.3004247,1031.846157,0
11200,Brewarrina (A),1766.513948,792.6844357,35,1,7,NSW,1,1,1,567.2308819,980.8674169,0
11250,Broken Hill (C),18521,917.3095405,61,2,11,NSW,6,1,4,812.5727535,1047.332589,0
11300,Burwood (A),32428,956.3603789,144,3,26,NSW,34,3,23,743.7105714,1098.296416,0
11350,Byron (A),29232.85554,967.3866479,197,4,35,NSW,57,4,38,786.3729443,1103.024486,0.001128867
11400,Cabonne (A),12836.24641,1026.797673,464,9,83,NSW,128,9,84,854.2448234,1183.186545,0
11450,Camden (A),56724.0001,1094.051638,552,10,98,NSW,149,10,97,843.709261,1276.408084,0.000370233
11500,Campbelltown (C),145938.2727,968.6081075,208,4,37,NSW,62,5,41,518.5803954,1196.905248,0.005961417
11520,Canada Bay (A),75750.00197,1030.411858,475,9,85,NSW,131,9,86,815.840779,1148.271461,0.000778878
11550,Canterbury (C),137406.206,932.6441211,89,2,16,NSW,13,1,9,547.7573318,1113.129154,0.000232886
11600,Carrathool (A),2579.716616,983.7508219,290,6,52,NSW,87,6,57,923.4967875,1061.628417,0
11700,Central Darling (A),1989,842.5254942,36,1,7,NSW,2,1,2,527.1251415,1017.581608,0
11720,Cessnock (C),50818.04036,972.3012013,228,5,41,NSW,71,5,47,610.7050839,1159.93429,0.016175358
11730,Clarence Valley (A),49680.99701,945.4869107,113,3,21,NSW,22,2,15,741.8075885,1115.487232,0.006763149
11750,Cobar (A),4726.936487,970.6987522,220,4,39,NSW,69,5,45,574.3713265,1104.169793,0
11800,Coffs Harbour (C),68428.003,959.6479496,157,3,28,NSW,42,3,28,631.4186667,1121.327696,0.001256795
11860,Conargo (A),1535,1053.150128,519,10,92,NSW,139,10,91,995.7491859,1075.176209,0
12000,Coolamon (A),4107,999.8196439,367,7,65,NSW,107,7,70,870.704863,1107.952703,0
12050,Cooma-Monaro (A),9767.418097,987.1828445,307,6,55,NSW,94,7,62,843.8713879,1168.840205,0.001417892
12150,Coonamble (A),4039.256335,915.904568,60,2,11,NSW,5,1,4,784.1913952,1122.623307,0
12200,Cootamundra (A),7344.162581,964.5466398,182,4,33,NSW,52,4,34,813.2421813,1108.96119,0
12300,Corowa Shire (A),10997,977.7861915,259,5,46,NSW,82,6,54,876.3495906,1060.480755,0.001454942
12350,Cowra (A),12155.12622,949.5030593,128,3,23,NSW,27,2,18,731.4794936,1100.510988,0.000658159
12500,Deniliquin (A),7125,948.1156004,122,3,22,NSW,26,2,17,729.5947263,1127.597586,0.000701754
12600,Dubbo (C),38825.80561,985.3092149,300,6,54,NSW,92,6,60,555.5858885,1181.556787,0
12700,Dungog (A),8318,1019.528133,445,8,79,NSW,124,9,81,879.8891176,1133.652642,0
12750,Eurobodalla (A),35773.07074,962.0483006,171,4,31,NSW,46,3,30,597.4937462,1104.968373,0.000782712
12850,Fairfield (C),187792.7584,938.4971633,96,2,17,NSW,17,2,12,633.4494644,1202.499016,0.000431327
12900,Forbes (A),9165.3381,960.3585974,162,3,29,NSW,43,3,28,728.8845279,1105.23373,0
12950,Gilgandra (A),4355.264448,945.9373386,115,3,21,NSW,23,2,15,807.1168506,1080.581123,0
13010,Glen Innes Severn (A),8658,943.1309447,106,2,19,NSW,20,2,13,826.0997807,1097.824442,0
13050,Gloucester (A),4867.057338,973.7559491,235,5,42,NSW,73,5,48,863.2267752,1069.907411,0.004725648
13100,Gosford (C),162459.999,1004.160186,389,7,69,NSW,114,8,75,616.0465721,1190.101948,0.007134064
13310,Goulburn Mulwaree (A),27453.40904,970.5682122,219,4,39,NSW,68,5,45,707.9481404,1161.136838,0.02036177
13320,Great Lakes (A),34434.97493,952.6324625,132,3,24,NSW,30,2,20,578.0224637,1098.545308,0.000784087
13340,Greater Hume Shire (A),9814.137229,1009.892858,412,8,73,NSW,118,8,77,906.9189779,1128.112734,0.001528407
13380,Greater Taree (C),46551.06278,941.6171346,103,2,19,NSW,19,2,13,577.54288,1108.624269,0.000150373
13450,Griffith (C),24380.40406,977.1064421,255,5,46,NSW,81,6,53,599.3470085,1146.870775,0.001107447
