2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
10050,Albury (C),47851,962.094804,300,6,54,NSW,84,6,55,712.0571774,1153.773568,0.000480659
10110,Armidale Dumaresq (A),24121.92784,1033.785156,475,9,85,NSW,122,8,80,835.4949303,1136.094057,0.035610752
10150,Ashfield (A),41216,1092.336415,515,10,92,NSW,134,9,88,1003.41235,1167.988539,0
10200,Auburn (C),73744,1000.790663,429,8,76,NSW,112,8,73,831.0010379,1203.713117,0.020069429
10250,Ballina (A),39263.32743,984.5005735,385,7,69,NSW,104,7,68,701.7502643,1120.339016,0.000331098
10300,Balranald (A),2283.865542,930.1250453,161,3,29,NSW,39,3,26,866.8779837,1052.241846,0
10350,Bankstown (C),182366.001,966.2862435,319,6,57,NSW,86,6,56,773.9134158,1082.73327,0.002555301
10470,Bathurst Regional (A),38514.20244,976.5479939,359,7,64,NSW,98,7,64,735.147603,1115.719301,0.02889843
10550,Bega Valley (A),31951.1223,951.8067681,257,5,46,NSW,74,5,49,772.0059102,1119.93314,0.000359091
10600,Bellingen (A),12524.01925,979.8723282,370,7,66,NSW,100,7,65,841.4906834,1075.521281,0
10650,Berrigan (A),8067,941.683434,217,4,39,NSW,61,4,40,865.113167,1073.821406,0
10750,Blacktown (C),301124.9957,953.648876,267,5,48,NSW,77,6,51,682.0448634,1161.989898,0.002819413
10800,Bland (A),5868.056805,953.220026,266,5,48,NSW,76,5,50,848.7013719,1102.713083,0
10850,Blayney (A),6979.894084,949.9900129,251,5,45,NSW,72,5,47,812.740049,1088.758309,0
10900,Blue Mountains (C),75930.03422,1064.730736,498,9,89,NSW,128,9,84,931.9392268,1175.664678,0.001001379
10950,Bogan (A),2896.53664,938.8591474,197,4,35,NSW,54,4,36,846.2841803,1059.794538,0
11000,Bombala (A),2410.523821,942.5966009,226,5,41,NSW,64,5,42,844.8566672,1115.156971,0.000633322
11050,Boorowa (A),2397,975.520122,355,7,63,NSW,97,7,63,891.425629,1114.715254,0
11100,Botany Bay (C),39377.99601,1003.971515,436,8,78,NSW,113,8,74,754.3780678,1188.307542,0.001117274
11150,Bourke (A),2869.998999,992.8273546,404,8,72,NSW,108,8,71,855.2963863,1083.101757,0
11200,Brewarrina (A),1766.513948,920.7148922,116,3,21,NSW,24,2,16,846.574984,1005.492138,0.037927807
11250,Broken Hill (C),18521,887.4051375,34,1,7,NSW,4,1,3,810.746363,1089.842872,0
11300,Burwood (A),32428,1084.017816,510,10,91,NSW,132,9,86,974.0425002,1174.582295,0
11350,Byron (A),29232.85554,1028.81875,468,9,83,NSW,120,8,78,936.9762629,1142.424512,0.001128867
11400,Cabonne (A),12836.24641,979.9239228,371,7,66,NSW,101,7,66,830.2112821,1120.973651,0
11450,Camden (A),56724.0001,993.9121588,411,8,73,NSW,109,8,71,852.3465392,1112.072216,0.000370233
11500,Campbelltown (C),145938.2727,922.6460231,122,3,22,NSW,26,2,17,647.153665,1103.226822,0.005372127
11520,Canada Bay (A),75750.00197,1119.005982,531,10,94,NSW,141,10,92,1002.411523,1225.447589,0.000778878
11550,Canterbury (C),137406.206,983.2982325,381,7,68,NSW,103,7,67,724.8880512,1157.360072,0.000232886
11600,Carrathool (A),2579.716616,954.0663374,270,5,48,NSW,78,6,51,859.5348266,1052.694875,0
11700,Central Darling (A),1989,914.6769012,97,2,18,NSW,15,1,10,730.558822,1026.512741,0
11720,Cessnock (C),50818.04036,877.5859925,29,1,6,NSW,2,1,2,667.4971665,1167.68164,0.016175358
11730,Clarence Valley (A),49680.99701,903.7258268,57,2,11,NSW,7,1,5,581.6268208,1063.7629,0.006139168
11750,Cobar (A),4726.936487,905.3463783,68,2,13,NSW,8,1,6,625.1409209,1030.810532,0
11800,Coffs Harbour (C),68428.003,951.7316097,256,5,46,NSW,73,5,48,740.1703109,1119.053997,0.000993745
11860,Conargo (A),1535,1075.53135,505,9,90,NSW,131,9,86,1046.045925,1107.114214,0
12000,Coolamon (A),4107,967.6011215,325,6,58,NSW,88,6,58,881.4871077,1131.847837,0
12050,Cooma-Monaro (A),9767.418097,972.9557722,344,7,61,NSW,93,7,61,877.796767,1144.907596,0.001417892
12150,Coonamble (A),4039.256335,935.1154739,187,4,34,NSW,52,4,34,820.8572341,1148.686347,0
12200,Cootamundra (A),7344.162581,923.2088666,128,3,23,NSW,29,2,19,795.3831506,1074.446163,0
12300,Corowa Shire (A),10997,911.7930581,87,2,16,NSW,13,1,9,819.6703899,1055.504393,0.001454942
12350,Cowra (A),12155.12622,923.0621875,126,3,23,NSW,28,2,19,742.6453051,1103.345328,0.000658159
12500,Deniliquin (A),7125,927.7247693,146,3,26,NSW,35,3,23,806.0820764,1030.147642,0.000701754
12600,Dubbo (C),38825.80561,947.0918347,235,5,42,NSW,67,5,44,621.2693537,1087.600293,0
12700,Dungog (A),8318,956.1555112,279,5,50,NSW,79,6,52,855.8170429,1063.061878,0
12750,Eurobodalla (A),35773.07074,939.6366039,204,4,37,NSW,56,4,37,742.4897951,1119.93314,0.00013977
12850,Fairfield (C),187792.7584,913.09652,90,2,16,NSW,14,1,10,689.0594322,1064.498599,0.000431327
12900,Forbes (A),9165.3381,942.3262857,223,4,40,NSW,62,5,41,775.7253029,1131.767157,0
12950,Gilgandra (A),4355.264448,945.2539582,231,5,41,NSW,66,5,43,843.0248138,1102.651529,0
13010,Glen Innes Severn (A),8658,933.2771186,178,4,32,NSW,46,3,30,823.5981137,1063.947968,0
13050,Gloucester (A),4867.057338,933.0012123,176,4,32,NSW,45,3,30,799.9330454,1056.289729,0
13100,Gosford (C),162459.999,996.5936064,422,8,75,NSW,111,8,73,736.3222352,1177.585382,0.007029423
13310,Goulburn Mulwaree (A),27453.40904,932.3145394,172,4,31,NSW,43,3,28,778.9776825,1064.989211,0.02036177
13320,Great Lakes (A),34434.97493,918.4315114,105,2,19,NSW,20,2,13,633.4254966,1062.991659,0.000784087
13340,Greater Hume Shire (A),9814.137229,966.3629728,320,6,57,NSW,87,6,57,857.2545594,1095.00085,0.001528407
13380,Greater Taree (C),46551.06278,909.2744436,77,2,14,NSW,11,1,8,616.4408368,1106.949601,0.000150373
13450,Griffith (C),24380.40406,922.8869647,125,3,23,NSW,27,2,18,647.5029148,1061.123333,0
13500,Gundagai (A),3656.107241,927.5461863,144,3,26,NSW,33,3,22,840.9142186,1059.685767,0
13550,Gunnedah (A),12079.001,919.1204737,109,2,20,NSW,21,2,14,752.4287946,1085.865044,0
13650,Guyra (A),4393.464511,928.2091151,151,3,27,NSW,36,3,24,775.2396351,1121.062099,0
13660,Gwydir (A),4953.193058,958.1743138,285,6,51,NSW,81,6,53,814.3569431,1124.163736,0
13700,Harden (A),3573.757691,948.7712998,243,5,44,NSW,69,5,45,826.6985279,1085.142126,0
13800,Hawkesbury (C),62323.94955,972.1843291,343,7,61,NSW,92,6,60,831.3637108,1165.513961,0.003385536
13850,Hay (A),2939.965291,920.1926756,112,2,20,NSW,23,2,15,831.2283122,1057.042505,0
13950,Holroyd (C),99174.21219,989.1128037,396,8,71,NSW,105,7,69,876.5027818,1170.689184,0.000151249
14000,Hornsby (A),156862.4359,1122.071376,532,10,95,NSW,142,10,93,962.8717451,1209.441127,0.001064627
14100,Hunters Hill (A),13221,1168.098474,549,10,98,NSW,146,10,95,1100.095142,1281.240229,0.042281219
14150,Hurstville (C),78827.79396,1037.148595,478,9,85,NSW,124,9,81,853.2222453,1157.307742,0.000444006
14200,Inverell (A),16078.01439,916.1184469,99,2,18,NSW,17,2,12,732.043646,1087.693484,0
14250,Jerilderie (A),1492,996.048245,418,8,74,NSW,110,8,72,851.784152,1124.820721,0
14300,Junee (A),5880.851358,921.7475521,120,3,22,NSW,25,2,17,812.1564369,1096.071917,0.133484074
14350,Kempsey (A),28126.47463,889.6741315,38,1,7,NSW,5,1,4,634.5493597,1096.186922,0.021581091
14400,Kiama (A),19992.79785,1051.49914,489,9,87,NSW,126,9,82,905.2228251,1132.28935,0.000200072
14450,Kogarah (C),55792,1073.728894,504,9,90,NSW,130,9.00E+00,85,9.73E+02,1174.900965,5.37711E-05
14500,Ku-ring-gai (A),109279.4794,1177.337318,556,10,99,NSW,150,1.00E+01,98,1.02E+03,1236.169505,2.74525E-05
14550,Kyogle (A),9231.498626,941.1254713,214,4,38,NSW,60,4,39,795.6301205,1057.283943,0
14600,Lachlan (A),6469.683743,968.8529538,329,6,59,NSW,90,6,59,849.8967396,1131.767157,0.008346621
14650,Lake Macquarie (C),188984.9993,960.2119093,289,6,52,NSW,82,6,54,719.4624381,1155.106675,0.004973937
14700,Lane Cove (A),31524,1174.205877,554,10,99,NSW,149,10,97,1107.190594,1232.316049,0
14750,Leeton (A),11014.37487,918.0805428,103,2,19,NSW,19,2,13,780.0637347,1038.304879,0
14800,Leichhardt (A),52195.98194,1169.533435,551,10,98,NSW,148,10,97,997.5659205,1235.797775,0.001781746
14850,Lismore (C),42770.43057,967.7093604,327,6,58,NSW,89,6.00E+00,58,7.93E+02,1098.627361,9.35226E-05
14870,Lithgow (C),20142.04009,883.2710133,32,1,6,NSW,3,1,2,684.109327,1048.220901,0.015738227
14900,Liverpool (C),180172.0712,956.2227308,280,5,50,NSW,80,6,52,632.4191452,1107.398981,0.003091484
14920,Liverpool Plains (A),7489.982364,908.0729053,73,2,13,NSW,10,1,7,720.2216515,1077.386216,0
14950,Lockhart (A),3005.859638,981.3514587,375,7,67,NSW,102,7,67,896.6694155,1096.331287,0.000998051
15050,Maitland (C),67443.29651,944.8603474,229,5,41,NSW,65,5,43,744.551798,1094.079343,0.000207582
15150,Manly (A),39737.00099,1168.777486,550,10,98,NSW,147,10,96,1107.108973,1241.396031,0.000377482
15200,Marrickville (A),76448.42374,1111.721294,526,10,94,NSW,139,10,91,716.7808605,1235.092026,0.000274708
15270,Mid-Western Regional (A),22299.79603,932.3395597,173,4,31,NSW,44,3,29,783.8669757,1104.156087,0
15300,Moree Plains (A),13415.21234,928.7516929,153,3,28,NSW,38,3,25,633.3917152,1088.460073,0.000372711
15350,Mosman (A),27462,1194.072344,562,10,100,NSW,152,10,99,1130.88217,1240.185437,0.000218484
15500,Murray (A),6966,949.8239448,249,5,45,NSW,71,5,47,751.7606168,1079.120412,0
15550,Murrumbidgee (A),2262.000994,930.3310048,163,3,29,NSW,40,3,26,798.1856812,1110.391521,0
15650,Muswellbrook (A),15789,893.4116728,41,1,8,NSW,6,1,4,728.138387,988.8913333,0
15700,Nambucca (A),18641.98075,906.8486657,71,2,13,NSW,9,1,6,753.0628538,1075.521281,0.005847018
15750,Narrabri (A),12943.999,928.4946249,152,3,27,NSW,37,3,25,807.6357502,1109.301655,0.001004326
15800,Narrandera (A),5897.481366,920.1087823,110,2,20,NSW,22,2,15,779.3874563,1064.712849,0
15850,Narromine (A),6583.049705,939.4082421,201,4,36,NSW,55,4,36,782.3922672,1133.744279,0
15900,Newcastle (C),148541.7817,1011.416403,455,9,81,NSW,115,8,75,663.1343675,1204.125985,0.007432262
15950,North Sydney (A),62300.1597,1201.631255,564,10,100,NSW,153,10,100,1102.067993,1270.333573,0.000048154
16100,Oberon (A),5026.959607,923.3333714,130,3,24,NSW,30,2,20,782.5980986,1075.288878,0.0019895
16150,Orange (C),38049,961.4776273,296,6,53,NSW,83,6,54,738.137099,1126.132939,0.004047413
16180,Palerang (A),14345.06062,1072.313023,502,9,89,NSW,129,9,84,944.0247576,1167.620253,0
16200,Parkes (A),14588.69403,930.9081147,165,3,30,NSW,42,3,28,762.5086024,1082.57503,0
16250,Parramatta (C),166935.2157,1036.727332,477,9,85,NSW,123,8,80,847.2541199,1191.863386,0.005942451
16350,Penrith (C),178468.657,937.8850708,193,4,35,NSW,53,4,35,759.7099502,1134.488022,0.004852393
