2011 Local Government Area Code (LGA),2011 Local Government Area Name (LGA),Usual Resident Population,Score,RankAU,DecileAU,PercentileAU,StateSTATE,RankSTATE,DecileSTATE,PercentileSTATE,Minimum score for SA1s in area,Maximum score for SA1s in area,% Usual Resident Population without a SA1 level score
10050,Albury (C),47851,967.3470108,290,6,52,NSW,87,6,57,627.8514811,1169.223211,0.000480659
10110,Armidale Dumaresq (A),24121.92784,984.8657406,365,7,65,NSW,103,7,67,727.37598,1119.748192,0.035610752
10150,Ashfield (A),41216,1030.963019,472,9,84,NSW,122,8,80,925.7744661,1123.79465,0
10200,Auburn (C),73744,944.4058584,209,4,37,NSW,62,5,41,759.3992409,1182.989599,0.020069429
10250,Ballina (A),39263.32743,980.3316413,343,7,61,NSW,99,7,65,493.7367344,1120.256847,0.000331098
10300,Balranald (A),2283.865542,929.4302095,133,3,24,NSW,33,3,22,888.5273907,1028.941255,0
10350,Bankstown (C),182366.001,946.0429405,217,4,39,NSW,67,5,44,614.679765,1122.334684,0.002719805
10470,Bathurst Regional (A),38514.20244,984.9731716,367,7,65,NSW,104,7,68,732.3705618,1135.955498,0.02889843
10550,Bega Valley (A),31951.1223,950.9148515,233,5,42,NSW,71,5,47,732.5400219,1059.208038,0.000359091
10600,Bellingen (A),12524.01925,942.1670598,190,4,34,NSW,55,4,36,833.317827,1017.702057,0
10650,Berrigan (A),8067,937.8790213,172,4,31,NSW,48,4,32,842.1784701,1043.02141,0
10750,Blacktown (C),301124.9957,973.8827275,317,6,57,NSW,93,7,61,555.9002396,1193.708563,0.002819413
10800,Bland (A),5868.056805,958.5396865,251,5,45,NSW,77,6,51,806.7372667,1044.940617,0
10850,Blayney (A),6979.894084,972.9256565,315,6,56,NSW,92,6,60,812.0602524,1110.528289,0
10900,Blue Mountains (C),75930.03422,1038.280402,484,9,86,NSW,125,9,82,797.475817,1164.68656,0.00126478
10950,Bogan (A),2896.53664,934.4123525,158,3,28,NSW,40,3,26,858.1304656,1058.899635,0
11000,Bombala (A),2410.523821,936.0868228,166,3,30,NSW,45,3,30,835.5301433,1012.324464,0.000633322
11050,Boorowa (A),2397,954.0880222,242,5,43,NSW,74,5,49,880.545135,1080.423409,0
11100,Botany Bay (C),39377.99601,985.1599546,368,7,66,NSW,105,7,69,532.4827266,1139.555388,0.001117274
11150,Bourke (A),2869.998999,933.5994344,153,3,28,NSW,37,3,25,787.5735538,1028.599521,0
11200,Brewarrina (A),1766.513948,815.6402843,36,1,7,NSW,1,1,1,750.4394901,953.8060433,0.037927807
11250,Broken Hill (C),18521,888.1096702,58,2,11,NSW,8,1,6,787.7281651,1078.069272,0
11300,Burwood (A),32428,1022.454784,457,9,81,NSW,121,8,79,920.9411365,1088.599261,0
11350,Byron (A),29232.85554,979.2363829,340,7,61,NSW,98,7,64,843.0887253,1092.459208,0.001128867
11400,Cabonne (A),12836.24641,992.6846972,391,7,70,NSW,111,8,73,809.5307084,1132.841785,0
11450,Camden (A),56724.0001,1055.711237,511,10,91,NSW,133,9,87,792.8835774,1205.754935,0.000370233
11500,Campbelltown (C),145938.2727,942.8031883,196,4,35,NSW,58,4,38,479.6203557,1161.653963,0.006208097
11520,Canada Bay (A),75750.00197,1086.117631,532,10,95,NSW,138,9,90,858.9481312,1165.577383,0.00120132
11550,Canterbury (C),137406.206,938.5534963,179,4,32,NSW,51,4,34,536.4517117,1098.673317,0.000232886
11600,Carrathool (A),2579.716616,958.5163251,250,5,45,NSW,76,5,50,883.9313557,1034.955882,0
11700,Central Darling (A),1989,840.8767124,37,1,7,NSW,2,1,2,549.9161665,1010.509757,0
11720,Cessnock (C),50818.04036,922.1065526,115,3,21,NSW,28,2,19,590.4777107,1132.253312,0.016175358
11730,Clarence Valley (A),49680.99701,906.9034579,76,2,14,NSW,13,1,9,688.1569591,1056.321408,0.006763149
11750,Cobar (A),4726.936487,944.0513733,205,4,37,NSW,60,4,39,503.4003364,1056.437727,0
11800,Coffs Harbour (C),68428.003,950.1893794,229,5,41,NSW,70,5,46,625.7689583,1111.357018,0.001256795
11860,Conargo (A),1535,1038.766331,485,9,86,NSW,126,9,82,1018.311145,1055.702869,0
12000,Coolamon (A),4107,959.991736,256,5,46,NSW,80,6,52,836.0544256,1073.14253,0
12050,Cooma-Monaro (A),9767.418097,975.763753,327,6,58,NSW,95,7,62,864.6277269,1155.60606,0.001417892
